	Date	Open	High	Low	Close	Adj Close	Volume
0	2014-12-31	28.204999923706055	28.282499313354492	27.552499771118164	27.594999313354492	24.915252685546875	165613600
1	2015-01-02	27.84749984741211	27.860000610351562	26.837499618530273	27.332500457763672	24.678245544433594	212818400
2	2015-01-05	27.072500228881836	27.162500381469727	26.352500915527344	26.5625	23.983022689819336	257142000
3	2015-01-06	26.635000228881836	26.857500076293945	26.157499313354492	26.565000534057617	23.98527717590332	263188400
4	2015-01-07	26.799999237060547	27.049999237060547	26.674999237060547	26.9375	24.321611404418945	160423600
5	2015-01-08	27.3075008392334	28.037500381469727	27.174999237060547	27.97249984741211	25.256093978881836	237458000
6	2015-01-09	28.167499542236328	28.3125	27.552499771118164	28.002500534057617	25.283185958862305	214798000
7	2015-01-12	28.149999618530273	28.157499313354492	27.200000762939453	27.3125	24.660194396972656	198603200
8	2015-01-13	27.857500076293945	28.200000762939453	27.227500915527344	27.55500030517578	24.87914276123047	268367600
9	2015-01-14	27.260000228881836	27.622499465942383	27.125	27.450000762939453	24.784339904785156	195826400
10	2015-01-15	27.5	27.514999389648438	26.665000915527344	26.704999923706055	24.111684799194336	240056000
11	2015-01-16	26.75749969482422	26.895000457763672	26.299999237060547	26.497499465942383	23.924333572387695	314053200
12	2015-01-20	26.959999084472656	27.24250030517578	26.625	27.18000030517578	24.54056167602539	199599600
13	2015-01-21	27.237499237060547	27.764999389648438	27.0674991607666	27.387500762939453	24.72791290283203	194303600
14	2015-01-22	27.565000534057617	28.11750030517578	27.43000030517578	28.100000381469727	25.37122344970703	215185600
15	2015-01-23	28.075000762939453	28.4375	27.88249969482422	28.2450008392334	25.502138137817383	185859200
16	2015-01-26	28.434999465942383	28.59000015258789	28.200000762939453	28.274999618530273	25.529226303100586	222460000
17	2015-01-27	28.104999542236328	28.1200008392334	27.25749969482422	27.28499984741211	24.63536262512207	382274800
18	2015-01-28	29.407499313354492	29.530000686645508	28.827499389648438	28.827499389648438	26.02806854248047	585908400
19	2015-01-29	29.079999923706055	29.797500610351562	28.889999389648438	29.725000381469727	26.838415145874023	337745600
20	2015-01-30	29.600000381469727	30.0	29.212499618530273	29.290000915527344	26.44565773010254	334982000
21	2015-02-02	29.512500762939453	29.792499542236328	29.020000457763672	29.657499313354492	26.7774658203125	250956400
22	2015-02-03	29.625	29.772499084472656	29.40250015258789	29.662500381469727	26.781980514526367	207662800
23	2015-02-04	29.625	30.127500534057617	29.577499389648438	29.889999389648438	26.98739242553711	280598800
24	2015-02-05	30.0049991607666	30.0575008392334	29.8125	29.985000610351562	27.180011749267578	168984800
25	2015-02-06	30.0049991607666	30.0625	29.612499237060547	29.732500076293945	26.95113182067871	174826400
26	2015-02-09	29.637500762939453	29.959999084472656	29.607500076293945	29.93000030517578	27.130157470703125	155559200
27	2015-02-10	30.042499542236328	30.537500381469727	30.040000915527344	30.5049991607666	27.651363372802734	248034000
28	2015-02-11	30.6924991607666	31.229999542236328	30.625	31.219999313354492	28.299484252929688	294247200
29	2015-02-12	31.514999389648438	31.8700008392334	31.392499923706055	31.614999771118164	28.657529830932617	297898000
30	2015-02-13	31.81999969482422	31.81999969482422	31.412500381469727	31.770000457763672	28.798032760620117	217088800
31	2015-02-17	31.872499465942383	32.220001220703125	31.729999542236328	31.957500457763672	28.967992782592773	252609600
32	2015-02-18	31.907499313354492	32.19499969482422	31.862499237060547	32.18000030517578	29.169677734375	179566800
33	2015-02-19	32.119998931884766	32.25749969482422	32.08250045776367	32.11249923706055	29.10849380493164	149449600
34	2015-02-20	32.154998779296875	32.375	32.01250076293945	32.375	29.346439361572266	195793600
35	2015-02-23	32.505001068115234	33.25	32.415000915527344	33.25	30.139589309692383	283896400
36	2015-02-24	33.23500061035156	33.400001525878906	32.79249954223633	33.04249954223633	29.95149040222168	276912400
37	2015-02-25	32.88999938964844	32.900001525878906	32.037498474121094	32.1974983215332	29.18553924560547	298846800
