	ds	trend	yhat_lower	yhat_upper	trend_lower	trend_upper	additive_terms	additive_terms_lower	additive_terms_upper	weekly	weekly_lower	weekly_upper	yearly	yearly_lower	yearly_upper	multiplicative_terms	multiplicative_terms_lower	multiplicative_terms_upper	yhat
0	2014-12-31	30.754868833871207	27.04866218561775	42.99765903178168	30.754868833871207	30.754868833871207	4.3455573542336134	4.3455573542336134	4.3455573542336134	0.7472375063824739	0.7472375063824739	0.7472375063824739	3.59831984785114	3.59831984785114	3.59831984785114	0.0	0.0	0.0	35.10042618810482
1	2015-01-02	30.760133376749746	27.11442533459912	41.96411618303872	30.760133376749746	30.760133376749746	3.84891502996932	3.84891502996932	3.84891502996932	0.4806286052184407	0.4806286052184407	0.4806286052184407	3.368286424750879	3.368286424750879	3.368286424750879	0.0	0.0	0.0	34.60904840671907
2	2015-01-05	30.76803019106756	26.847307307950217	42.209832207925736	30.76803019106756	30.76803019106756	3.6643296937989107	3.6643296937989107	3.6643296937989107	0.7070171553502077	0.7070171553502077	0.7070171553502077	2.957312538448703	2.957312538448703	2.957312538448703	0.0	0.0	0.0	34.43235988486647
3	2015-01-06	30.770662462506827	26.56542267993758	42.255491400687326	30.770662462506827	30.770662462506827	3.567117130646754	3.567117130646754	3.567117130646754	0.7573112661778962	0.7573112661778962	0.7573112661778962	2.809805864468857	2.809805864468857	2.809805864468857	0.0	0.0	0.0	34.337779593153584
4	2015-01-07	30.7732947339461	26.523170864388288	41.30314449801919	30.7732947339461	30.7732947339461	3.4076177937424306	3.4076177937424306	3.4076177937424306	0.7472375063827964	0.7472375063827964	0.7472375063827964	2.6603802873596343	2.6603802873596343	2.6603802873596343	0.0	0.0	0.0	34.18091252768853
5	2015-01-08	30.775927005385366	26.223020741481157	41.96447579734222	30.775927005385366	30.775927005385366	3.1223938314420625	3.1223938314420625	3.1223938314420625	0.6112216185153245	0.6112216185153245	0.6112216185153245	2.5111722129267378	2.5111722129267378	2.5111722129267378	0.0	0.0	0.0	33.89832083682743
6	2015-01-09	30.778559276824634	26.63025380548703	40.92145754479819	30.778559276824634	30.778559276824634	2.8449876050471685	2.8449876050471685	2.8449876050471685	0.4806286052185925	0.4806286052185925	0.4806286052185925	2.364358999828576	2.364358999828576	2.364358999828576	0.0	0.0	0.0	33.6235468818718
7	2015-01-12	30.786456091142448	25.96547838452123	41.30828023663922	30.786456091142448	30.786456091142448	2.6668958831274097	2.6668958831274097	2.6668958831274097	0.7070171553483261	0.7070171553483261	0.7070171553483261	1.9598787277790832	1.9598787277790832	1.9598787277790832	0.0	0.0	0.0	33.45335197426986
8	2015-01-13	30.78908836258172	25.416712874757348	40.66916280218342	30.78908836258172	30.78908836258172	2.6012080577890844	2.6012080577890844	2.6012080577890844	0.7573112661773537	0.7573112661773537	0.7573112661773537	1.8438967916117306	1.8438967916117306	1.8438967916117306	0.0	0.0	0.0	33.3902964203708
9	2015-01-14	30.791720634020987	25.17266366248218	41.1253590585113	30.791720634020987	30.791720634020987	2.4876951706905515	2.4876951706905515	2.4876951706905515	0.7472375063824267	0.7472375063824267	0.7472375063824267	1.7404576643081247	1.7404576643081247	1.7404576643081247	0.0	0.0	0.0	33.27941580471154
10	2015-01-15	30.794352905460258	25.34990677346504	40.529439410870744	30.794352905460258	30.794352905460258	2.262388562353532	2.262388562353532	2.262388562353532	0.6112216185147873	0.6112216185147873	0.6112216185147873	1.6511669438387446	1.6511669438387446	1.6511669438387446	0.0	0.0	0.0	33.05674146781379
11	2015-01-16	30.796985176899526	25.0038612159842	40.25737995369839	30.796985176899526	30.796985176899526	2.058030447829966	2.058030447829966	2.058030447829966	0.4806286052152321	0.4806286052152321	0.4806286052152321	1.5774018426147338	1.5774018426147338	1.5774018426147338	0.0	0.0	0.0	32.85501562472949
12	2015-01-20	30.807514262656607	25.538421722120386	41.11111913243628	30.807514262656607	30.807514262656607	2.2127780069719876	2.2127780069719876	2.2127780069719876	0.7573112661774906	0.7573112661774906	0.7573112661774906	1.4554667407944972	1.4554667407944972	1.4554667407944972	0.0	0.0	0.0	33.0202922696286
13	2015-01-21	30.810146534095878	25.358135083676213	40.20610709655565	30.810146534095878	30.810146534095878	2.2172268451544257	2.2172268451544257	2.2172268451544257	0.7472375063825292	0.7472375063825292	0.7472375063825292	1.4699893387718963	1.4699893387718963	1.4699893387718963	0.0	0.0	0.0	33.02737337925031
14	2015-01-22	30.812778805535146	25.31502084992077	40.15048162905377	30.812778805535146	30.812778805535146	2.113246056823461	2.113246056823461	2.113246056823461	0.6112216185136111	0.6112216185136111	0.6112216185136111	1.5020244383098496	1.5020244383098496	1.5020244383098496	0.0	0.0	0.0	32.92602486235861
15	2015-01-23	30.815411076974417	25.396627233176243	40.924849980507204	30.815411076974417	30.815411076974417	2.0313499582653938	2.0313499582653938	2.0313499582653938	0.4806286052187007	0.4806286052187007	0.4806286052187007	1.5507213530466928	1.5507213530466928	1.5507213530466928	0.0	0.0	0.0	32.84676103523981
16	2015-01-26	30.823307891292224	25.603866025575357	40.30097641738937	30.823307891292224	30.823307891292224	2.4903001790103585	2.4903001790103585	2.4903001790103585	0.7070171553500554	0.7070171553500554	0.7070171553500554	1.7832830236603034	1.7832830236603034	1.7832830236603034	0.0	0.0	0.0	33.313608070302585
17	2015-01-27	30.8259401627315	26.102421296606714	40.631709029370995	30.8259401627315	30.8259401627315	2.6409067786271514	2.6409067786271514	2.6409067786271514	0.7573112661762678	0.7573112661762678	0.7573112661762678	1.883595512450884	1.883595512450884	1.883595512450884	0.0	0.0	0.0	33.466846941358654
18	2015-01-28	30.828572434170766	26.594748673544142	41.65220045080742	30.828572434170766	30.828572434170766	2.738855954695174	2.738855954695174	2.738855954695174	0.7472375063828516	0.7472375063828516	0.7472375063828516	1.991618448312322	1.991618448312322	1.991618448312322	0.0	0.0	0.0	33.56742838886594
19	2015-01-29	30.831204705610038	25.696426329357866	41.5960383654749	30.831204705610038	30.831204705610038	2.7160344344829075	2.7160344344829075	2.7160344344829075	0.6112216185141794	0.6112216185141794	0.6112216185141794	2.1048128159687276	2.1048128159687276	2.1048128159687276	0.0	0.0	0.0	33.54723914009295
20	2015-01-30	30.833836977049305	25.41908184329844	40.94907289433788	30.833836977049305	30.833836977049305	2.7011086034443546	2.7011086034443546	2.7011086034443546	0.48062860521709655	0.48062860521709655	0.48062860521709655	2.220479998227258	2.220479998227258	2.220479998227258	0.0	0.0	0.0	33.53494558049366
