	ds	trend	yhat_lower	yhat_upper	trend_lower	trend_upper	additive_terms	additive_terms_lower	additive_terms_upper	weekly	weekly_lower	weekly_upper	yearly	yearly_lower	yearly_upper	multiplicative_terms	multiplicative_terms_lower	multiplicative_terms_upper	yhat
0	2014-12-31	44.6389873774221	32.6636460593691	63.16437181084877	44.6389873774221	44.6389873774221	3.2633577664522155	3.2633577664522155	3.2633577664522155	-0.27567051307163004	-0.27567051307163004	-0.27567051307163004	3.5390282795238455	3.5390282795238455	3.5390282795238455	0.0	0.0	0.0	47.902345143874314
1	2015-01-02	44.67029700633125	30.13836953580757	64.24265158067047	44.67029700633125	44.67029700633125	2.6674518225906407	2.6674518225906407	2.6674518225906407	-0.34460829719214264	-0.34460829719214264	-0.34460829719214264	3.0120601197827837	3.0120601197827837	3.0120601197827837	0.0	0.0	0.0	47.337748828921896
2	2015-01-05	44.71726144969498	30.34136985181345	63.234468093806946	44.71726144969498	44.71726144969498	1.8131497772207208	1.8131497772207208	1.8131497772207208	-0.28543088679886586	-0.28543088679886586	-0.28543088679886586	2.0985806640195865	2.0985806640195865	2.0985806640195865	0.0	0.0	0.0	46.5304112269157
3	2015-01-06	44.732916264149566	29.69076878099613	63.966268555927684	44.732916264149566	44.732916264149566	1.3841827197916725	1.3841827197916725	1.3841827197916725	-0.39125101855635225	-0.39125101855635225	-0.39125101855635225	1.7754337383480245	1.7754337383480245	1.7754337383480245	0.0	0.0	0.0	46.11709898394124
4	2015-01-07	44.74857107860414	30.01488997258961	61.75558392585366	44.74857107860414	44.74857107860414	1.1741003598744755	1.1741003598744755	1.1741003598744755	-0.2756705130715447	-0.2756705130715447	-0.2756705130715447	1.4497708729460201	1.4497708729460201	1.4497708729460201	0.0	0.0	0.0	45.92267143847861
5	2015-01-08	44.764225893058715	28.32374204274893	61.75722398475495	44.764225893058715	44.764225893058715	0.6914880805702308	0.6914880805702308	0.6914880805702308	-0.4344959186487111	-0.4344959186487111	-0.4344959186487111	1.125983999218942	1.125983999218942	1.125983999218942	0.0	0.0	0.0	45.455713973628946
6	2015-01-09	44.77988070751329	28.729231946518976	62.40975873423745	44.77988070751329	44.77988070751329	0.46395133578664566	0.46395133578664566	0.46395133578664566	-0.3446082971918332	-0.3446082971918332	-0.3446082971918332	0.808559632978479	0.808559632978479	0.808559632978479	0.0	0.0	0.0	45.24383204329994
7	2015-01-12	44.82684515087702	27.30891238271084	61.33155150936139	44.82684515087702	44.82684515087702	-0.3464538154604961	-0.3464538154604961	-0.3464538154604961	-0.28543088679784523	-0.28543088679784523	-0.28543088679784523	-0.06102292866265086	-0.06102292866265086	-0.06102292866265086	0.0	0.0	0.0	44.48039133541652
8	2015-01-13	44.8424999653316	26.784222723996272	60.0025000935324	44.8424999653316	44.8424999653316	-0.7004511963162767	-0.7004511963162767	-0.7004511963162767	-0.3912510185560402	-0.3912510185560402	-0.3912510185560402	-0.3092001777602367	-0.3092001777602367	-0.3092001777602367	0.0	0.0	0.0	44.14204876901532
9	2015-01-14	44.858154779786176	28.897240705954722	61.7135951393195	44.858154779786176	44.858154779786176	-0.8058022350133792	-0.8058022350133792	-0.8058022350133792	-0.2756705130716385	-0.2756705130716385	-0.2756705130716385	-0.5301317219417406	-0.5301317219417406	-0.5301317219417406	0.0	0.0	0.0	44.052352544772795
10	2015-01-15	44.873809594240754	26.62363726236597	59.605223954802696	44.873809594240754	44.873809594240754	-1.155034386468296	-1.155034386468296	-1.155034386468296	-0.43449591864879067	-0.43449591864879067	-0.43449591864879067	-0.7205384678195051	-0.7205384678195051	-0.7205384678195051	0.0	0.0	0.0	43.71877520777246
11	2015-01-16	44.88946440869533	28.343642075301894	60.473716533426895	44.88946440869533	44.88946440869533	-1.2222283410450212	-1.2222283410450212	-1.2222283410450212	-0.34460829719058794	-0.34460829719058794	-0.34460829719058794	-0.8776200438544334	-0.8776200438544334	-0.8776200438544334	0.0	0.0	0.0	43.66723606765031
12	2015-01-20	44.95208366651364	27.21023345881673	59.76498233150068	44.95208366651364	44.95208366651364	-1.528005024911155	-1.528005024911155	-1.528005024911155	-0.39125101855605887	-0.39125101855605887	-0.39125101855605887	-1.1367540063550963	-1.1367540063550963	-1.1367540063550963	0.0	0.0	0.0	43.424078641602485
13	2015-01-21	44.967738480968215	27.353874856614155	60.693175013881714	44.967738480968215	44.967738480968215	-1.3815531607618392	-1.3815531607618392	-1.3815531607618392	-0.2756705130716177	-0.2756705130716177	-0.2756705130716177	-1.1058826476902215	-1.1058826476902215	-1.1058826476902215	0.0	0.0	0.0	43.586185320206376
14	2015-01-22	44.98339329542279	28.064490764441295	60.731295846245025	44.98339329542279	44.98339329542279	-1.4722993789570409	-1.4722993789570409	-1.4722993789570409	-0.4344959186476906	-0.4344959186476906	-0.4344959186476906	-1.03780346030935	-1.03780346030935	-1.03780346030935	0.0	0.0	0.0	43.511093916465754
15	2015-01-23	44.999048109877364	27.521101541809312	60.164076238115754	44.999048109877364	44.999048109877364	-1.2788688200968161	-1.2788688200968161	-1.2788688200968161	-0.34460829719212577	-0.34460829719212577	-0.34460829719212577	-0.9342605229046904	-0.9342605229046904	-0.9342605229046904	0.0	0.0	0.0	43.720179289780546
16	2015-01-26	45.046012553241106	27.967690442269657	60.3697770103607	45.046012553241106	45.046012553241106	-0.7236121874095528	-0.7236121874095528	-0.7236121874095528	-0.2854308867988555	-0.2854308867988555	-0.2854308867988555	-0.4381813006106975	-0.4381813006106975	-0.4381813006106975	0.0	0.0	0.0	44.322400365831555
17	2015-01-27	45.06166736769568	28.701834725747233	61.87389217245467	45.06166736769568	45.06166736769568	-0.6143675460031373	-0.6143675460031373	-0.6143675460031373	-0.3912510185554158	-0.3912510185554158	-0.3912510185554158	-0.22311652744772134	-0.22311652744772134	-0.22311652744772134	0.0	0.0	0.0	44.44729982169254
18	2015-01-28	45.07732218215026	29.372662024166907	61.05259195769343	45.07732218215026	45.07732218215026	-0.26622100171103086	-0.26622100171103086	-0.26622100171103086	-0.27567051307153234	-0.27567051307153234	-0.27567051307153234	0.009449511360501497	0.009449511360501497	0.009449511360501497	0.0	0.0	0.0	44.81110118043923
19	2015-01-29	45.09297699660483	29.679330693134006	62.042639318701674	45.09297699660483	45.09297699660483	-0.18001335748345754	-0.18001335748345754	-0.18001335748345754	-0.4344959186479981	-0.4344959186479981	-0.4344959186479981	0.25448256116454043	0.25448256116454043	0.25448256116454043	0.0	0.0	0.0	44.91296363912137
