	ds	trend	yhat_lower	yhat_upper	trend_lower	trend_upper	additive_terms	additive_terms_lower	additive_terms_upper	weekly	weekly_lower	weekly_upper	yearly	yearly_lower	yearly_upper	multiplicative_terms	multiplicative_terms_lower	multiplicative_terms_upper	yhat
0	2014-12-31	40.59838289459745	-3.4591967142788116	165.87873284209778	40.59838289459745	40.59838289459745	42.41076831205276	42.41076831205276	42.41076831205276	-0.3221979649503565	-0.3221979649503565	-0.3221979649503565	42.732966277003115	42.732966277003115	42.732966277003115	0.0	0.0	0.0	83.00915120665022
1	2015-01-02	40.63469539212968	4.030746390867312	161.94807194279926	40.63469539212968	40.63469539212968	44.059944104468954	44.059944104468954	44.059944104468954	-2.5289173004348657	-2.5289173004348657	-2.5289173004348657	46.58886140490381	46.58886140490381	46.58886140490381	0.0	0.0	0.0	84.69463949659863
2	2015-01-05	40.68916413842801	7.438424560124617	175.04237076949573	40.68916413842801	40.68916413842801	52.50420000133272	52.50420000133272	52.50420000133272	1.0910133807022615	1.0910133807022615	1.0910133807022615	51.41318662063045	51.41318662063045	51.41318662063045	0.0	0.0	0.0	93.19336413976073
3	2015-01-06	40.70732038719413	11.96841188842334	175.72202859374548	40.70732038719413	40.70732038719413	52.31749213654289	52.31749213654289	52.31749213654289	-0.3168859095476334	-0.3168859095476334	-0.3168859095476334	52.63437804609051	52.63437804609051	52.63437804609051	0.0	0.0	0.0	93.02481252373701
4	2015-01-07	40.72547663596024	13.847123123018799	172.42237814860152	40.72547663596024	40.72547663596024	53.296902319949275	53.296902319949275	53.296902319949275	-0.322197964945409	-0.322197964945409	-0.322197964945409	53.61910028489468	53.61910028489468	53.61910028489468	0.0	0.0	0.0	94.02237895590952
5	2015-01-08	40.74363288472635	18.223049167545256	181.89919750818174	40.74363288472635	40.74363288472635	52.70683469648421	52.70683469648421	52.70683469648421	-1.6423542637247621	-1.6423542637247621	-1.6423542637247621	54.34918896020897	54.34918896020897	54.34918896020897	0.0	0.0	0.0	93.45046758121056
6	2015-01-09	40.76178913349246	13.441292243551393	176.51474446600795	40.76178913349246	40.76178913349246	52.28336757274459	52.28336757274459	52.28336757274459	-2.5289173004314116	-2.5289173004314116	-2.5289173004314116	54.81228487317601	54.81228487317601	54.81228487317601	0.0	0.0	0.0	93.04515670623704
7	2015-01-12	40.8162578797908	19.69780944947685	175.2528113998589	40.8162578797908	40.8162578797908	55.65938737207723	55.65938737207723	55.65938737207723	1.0910133807038693	1.0910133807038693	1.0910133807038693	54.568373991373356	54.568373991373356	54.568373991373356	0.0	0.0	0.0	96.47564525186803
8	2015-01-13	40.83441412855692	17.058550365731904	177.7153957963026	40.83441412855692	40.83441412855692	53.64635885059524	53.64635885059524	53.64635885059524	-0.31688590954647783	-0.31688590954647783	-0.31688590954647783	53.96324476014172	53.96324476014172	53.96324476014172	0.0	0.0	0.0	94.48077297915216
9	2015-01-14	40.852570377323026	13.740782815942364	171.2464592452393	40.852570377323026	40.852570377323026	52.799105325821465	52.799105325821465	52.799105325821465	-0.32219796495192077	-0.32219796495192077	-0.32219796495192077	53.12130329077339	53.12130329077339	53.12130329077339	0.0	0.0	0.0	93.65167570314449
