	ds	trend	yhat_lower	yhat_upper	trend_lower	trend_upper	additive_terms	additive_terms_lower	additive_terms_upper	weekly	weekly_lower	weekly_upper	yearly	yearly_lower	yearly_upper	multiplicative_terms	multiplicative_terms_lower	multiplicative_terms_upper	yhat
0	2014-12-31	41.039508545637354	-10.30421395447483	65.33599946826219	41.039508545637354	41.039508545637354	-11.77306169342168	-11.77306169342168	-11.77306169342168	1.9203918197902503	1.9203918197902503	1.9203918197902503	-13.693453513211928	-13.693453513211928	-13.693453513211928	0.0	0.0	0.0	29.266446852215672
1	2015-01-02	40.99452212559363	-11.811990159514542	66.46659550984718	40.99452212559363	40.99452212559363	-12.530192356533549	-12.530192356533549	-12.530192356533549	1.6612107320004212	1.6612107320004212	1.6612107320004212	-14.191403088533969	-14.191403088533969	-14.191403088533969	0.0	0.0	0.0	28.464329769060086
2	2015-01-05	40.927042495528056	-13.124032746658958	65.59278270713125	40.927042495528056	40.927042495528056	-13.336662650290965	-13.336662650290965	-13.336662650290965	1.2433388268710668	1.2433388268710668	1.2433388268710668	-14.580001477162028	-14.580001477162028	-14.580001477162028	0.0	0.0	0.0	27.59037984523709
3	2015-01-06	40.9045492855062	-12.094985823214058	66.335711299926	40.9045492855062	40.9045492855062	-13.174537462844434	-13.174537462844434	-13.174537462844434	1.4109325868367277	1.4109325868367277	1.4109325868367277	-14.585470049681163	-14.585470049681163	-14.585470049681163	0.0	0.0	0.0	27.730011822661766
4	2015-01-07	40.882056075484336	-8.313120424658676	66.77603875138477	40.882056075484336	40.882056075484336	-12.599170843599332	-12.599170843599332	-12.599170843599332	1.9203918197897374	1.9203918197897374	1.9203918197897374	-14.519562663389069	-14.519562663389069	-14.519562663389069	0.0	0.0	0.0	28.282885231885004
5	2015-01-08	40.85956286546248	-12.633669500731024	64.3836466725428	40.85956286546248	40.85956286546248	-13.095846517332124	-13.095846517332124	-13.095846517332124	1.282654097747372	1.282654097747372	1.282654097747372	-14.378500615079494	-14.378500615079494	-14.378500615079494	0.0	0.0	0.0	27.763716348130355
6	2015-01-09	40.83706965544062	-9.61177674086835	69.21275027409023	40.83706965544062	40.83706965544062	-12.498770098680588	-12.498770098680588	-12.498770098680588	1.6612107320010978	1.6612107320010978	1.6612107320010978	-14.159980830681686	-14.159980830681686	-14.159980830681686	0.0	0.0	0.0	28.338299556760035
7	2015-01-12	40.769590025375045	-8.959501961353407	69.14930295925095	40.769590025375045	40.769590025375045	-11.798145882471092	-11.798145882471092	-11.798145882471092	1.2433388268672636	1.2433388268672636	1.2433388268672636	-13.041484709338357	-13.041484709338357	-13.041484709338357	0.0	0.0	0.0	28.971444142903955
8	2015-01-13	40.74709681535318	-5.878368194828836	68.90149719928313	40.74709681535318	40.74709681535318	-11.112818121397503	-11.112818121397503	-11.112818121397503	1.4109325868352487	1.4109325868352487	1.4109325868352487	-12.52375070823275	-12.52375070823275	-12.52375070823275	0.0	0.0	0.0	29.63427869395568
9	2015-01-14	40.724603605331325	-11.202422054016699	68.23087695477425	40.724603605331325	40.724603605331325	-10.022339511256558	-10.022339511256558	-10.022339511256558	1.9203918197906558	1.9203918197906558	1.9203918197906558	-11.942731331047213	-11.942731331047213	-11.942731331047213	0.0	0.0	0.0	30.702264094074767
10	2015-01-15	40.70211039530947	-8.33701607073911	68.28174536366643	40.70211039530947	40.70211039530947	-10.023851948162218	-10.023851948162218	-10.023851948162218	1.2826540977466792	1.2826540977466792	1.2826540977466792	-11.306506045908899	-11.306506045908899	-11.306506045908899	0.0	0.0	0.0	30.67825844714725
11	2015-01-16	40.67961718528761	-6.756182270917524	69.19304400828209	40.67961718528761	40.67961718528761	-8.963512028705999	-8.963512028705999	-8.963512028705999	1.6612107319930862	1.6612107319930862	1.6612107319930862	-10.624722760699084	-10.624722760699084	-10.624722760699084	0.0	0.0	0.0	31.716105156581612
12	2015-01-20	40.58964434520017	-3.107249114820057	75.4671380867866	40.58964434520017	40.58964434520017	-6.268359631950072	-6.268359631950072	-6.268359631950072	1.4109325868371718	1.4109325868371718	1.4109325868371718	-7.6792922187872446	-7.6792922187872446	-7.6792922187872446	0.0	0.0	0.0	34.3212847132501
13	2015-01-21	40.567151135178314	-3.168742000082976	72.4884814280255	40.567151135178314	40.567151135178314	-5.034938835194094	-5.034938835194094	-5.034938835194094	1.9203918197899839	1.9203918197899839	1.9203918197899839	-6.955330654984076	-6.955330654984076	-6.955330654984076	0.0	0.0	0.0	35.532212299984224
14	2015-01-22	40.54465792515646	-4.978822462577355	75.28874760143007	40.54465792515646	40.54465792515646	-4.981898916237756	-4.981898916237756	-4.981898916237756	1.2826540977433936	1.2826540977433936	1.2826540977433936	-6.26455301398115	-6.26455301398115	-6.26455301398115	0.0	0.0	0.0	35.562759008918704
15	2015-01-23	40.52216471513459	-1.2913505660669395	72.6307690663849	40.52216471513459	40.52216471513459	-3.9596837047389175	-3.9596837047389175	-3.9596837047389175	1.6612107320011387	1.6612107320011387	1.6612107320011387	-5.620894436740057	-5.620894436740057	-5.620894436740057	0.0	0.0	0.0	36.56248101039568
16	2015-01-26	40.454685085069016	1.2128166243580292	74.91413294172784	40.454685085069016	40.454685085069016	-2.85713431766118	-2.85713431766118	-2.85713431766118	1.24333882687008	1.24333882687008	1.24333882687008	-4.10047314453126	-4.10047314453126	-4.10047314453126	0.0	0.0	0.0	37.59755076740784
17	2015-01-27	40.43219187504716	-2.365766131699029	76.14142703979276	40.43219187504716	40.43219187504716	-2.3561218742397823	-2.3561218742397823	-2.3561218742397823	1.4109325868322906	1.4109325868322906	1.4109325868322906	-3.767054461072073	-3.767054461072073	-3.767054461072073	0.0	0.0	0.0	38.07607000080738
18	2015-01-28	40.4096986650253	1.3871253160614616	76.8116598440461	40.4096986650253	40.4096986650253	-1.6141481847648746	-1.6141481847648746	-1.6141481847648746	1.920391819789471	1.920391819789471	1.920391819789471	-3.534540004554346	-3.534540004554346	-3.534540004554346	0.0	0.0	0.0	38.79555048026043
19	2015-01-29	40.38720545500344	1.1189934879130163	77.55965764999257	40.38720545500344	40.38720545500344	-2.1258419912539206	-2.1258419912539206	-2.1258419912539206	1.2826540977446703	1.2826540977446703	1.2826540977446703	-3.4084960889985902	-3.4084960889985902	-3.4084960889985902	0.0	0.0	0.0	38.26136346374952
20	2015-01-30	40.36471224498158	0.7785319949565072	76.97561654195448	40.36471224498158	40.36471224498158	-1.731030382614216	-1.731030382614216	-1.731030382614216	1.6612107319974716	1.6612107319974716	1.6612107319974716	-3.3922411146116875	-3.3922411146116875	-3.3922411146116875	0.0	0.0	0.0	38.63368186236737
21	2015-02-02	40.297232614916005	1.1396641700319372	76.2594190511309	40.297232614916005	40.297232614916005	-2.755925755831263	-2.755925755831263	-2.755925755831263	1.243338826871612	1.243338826871612	1.243338826871612	-3.999264582702875	-3.999264582702875	-3.999264582702875	0.0	0.0	0.0	37.54130685908474
22	2015-02-03	40.27473940489415	-1.316287351856758	74.93538824428134	40.27473940489415	40.27473940489415	-2.9959536309263046	-2.9959536309263046	-2.9959536309263046	1.410932586836154	1.410932586836154	1.410932586836154	-4.406886217762458	-4.406886217762458	-4.406886217762458	0.0	0.0	0.0	37.27878577396785
23	2015-02-04	40.25224619487229	1.2153442977162356	77.01748646934472	40.25224619487229	40.25224619487229	-2.984053756695605	-2.984053756695605	-2.984053756695605	1.920391819790389	1.920391819790389	1.920391819790389	-4.904445576485995	-4.904445576485995	-4.904445576485995	0.0	0.0	0.0	37.26819243817668
24	2015-02-05	40.22975298485043	-1.2364222506312483	75.56793261022761	40.22975298485043	40.22975298485043	-4.198274650234396	-4.198274650234396	-4.198274650234396	1.282654097745947	1.282654097745947	1.282654097745947	-5.480928747980343	-5.480928747980343	-5.480928747980343	0.0	0.0	0.0	36.03147833461603
25	2015-02-06	40.20725977482857	-2.4548351571930045	74.76802446805635	40.20725977482857	40.20725977482857	-4.462109143829137	-4.462109143829137	-4.462109143829137	1.6612107319981482	1.6612107319981482	1.6612107319981482	-6.123319875827284	-6.123319875827284	-6.123319875827284	0.0	0.0	0.0	35.74515063099943
26	2015-02-09	40.139780144762994	-4.978725579863846	74.12337088167904	40.139780144762994	40.139780144762994	-7.04804173439776	-7.04804173439776	-7.04804173439776	1.2433388268703525	1.2433388268703525	1.2433388268703525	-8.291380561268111	-8.291380561268111	-8.291380561268111	0.0	0.0	0.0	33.09173841036524
27	2015-02-10	40.11728693474114	-7.642346415963675	73.14376280030048	40.11728693474114	40.11728693474114	-7.626031459369603	-7.626031459369603	-7.626031459369603	1.4109325868346747	1.4109325868346747	1.4109325868346747	-9.036964046204277	-9.036964046204277	-9.036964046204277	0.0	0.0	0.0	32.49125547537153
